DATE,SPOT,FUTURE
08-09-2010,357.5274,351.669
08-10-2010,356.1451,350.2565
08-11-2010,355.1999,349.2741
08-12-2010,359.9501,353.8912
08/13/2010,360.2011,354.0849
08/16/2010,363.908,357.7333
08/17/2010,365.2012,359.0061
08/18/2010,364.9098,358.7212
08/19/2010,365.4371,359.2411
08/20/2010,362.2976,356.1564
08/23/2010,362.236,356.1004
08/24/2010,365.2353,359.0504
08/25/2010,370.1782,363.9112
08/26/2010,369.131,362.8832
08/27/2010,369.4328,363.1815
08/30/2010,369.7216,363.4702
08/31/2010,373.9597,367.6381
09-01-2010,373.2779,366.9693
09-02-2010,375.8365,369.4861
09-03-2010,376.6967,370.3332
09-07-2010,378.3452,371.9598
09-08-2010,378.4155,372.0304
09-09-2010,376.1869,369.8408
09-10-2010,375.1599,368.8325
09/13/2010,376.808,370.4569
09/14/2010,383.6641,377.199
09/15/2010,383.6857,377.2216
09/16/2010,385.8087,379.3104
09/17/2010,386.8535,380.339
09/20/2010,387.5223,381.001
09/21/2010,385.2714,378.7896
09/22/2010,391.2801,384.699
09/23/2010,392.9953,386.3871
09/24/2010,394.316,387.6872
09/27/2010,394.7834,388.152
09/28/2010,398.1066,391.421
09/29/2010,399.7637,393.052
09/30/2010,398.9598,392.2632
10-01-2010,401.9646,395.2193
10-04-2010,401.6236,394.8891
10-05-2010,410.3144,403.4357
10-06-2010,413.4732,406.5429
10-07-2010,408.3796,401.5362
10-08-2010,413.2469,406.3233
10-11-2010,416.4764,409.5031
10-12-2010,413.7658,406.8394
10/13/2010,422.9391,415.8606
10/14/2010,427.0064,419.8612
10/15/2010,425.0346,417.9239
10/18/2010,425.6756,418.5585
10/19/2010,414.5221,407.5931
10/20/2010,416.7597,409.7947
10/21/2010,409.0386,402.2043
10/22/2010,408.8236,401.9943
10/25/2010,413.9982,407.087
10/26/2010,415.3472,408.415
10/27/2010,409.6839,402.8477
10/28/2010,416.4364,409.489
10/29/2010,423.2017,416.1429
11-01-2010,421.5872,414.5598
11-02-2010,424.3926,417.3199
11-03-2010,418.1248,411.1581
11-04-2010,436.1881,428.9217
11-05-2010,442.9214,435.5444
11-08-2010,447.7002,440.0866
11-09-2010,456.7234,448.7864
11-10-2010,444.375,436.4799
11-11-2010,448.1434,440.0115
