DATE,SPOT,FUTURE
09-10-2010,150.8508,74.1857
09/13/2010,150.9174,74.1344
09/14/2010,153.2458,75.1428
09/15/2010,153.5889,75.2299
09/16/2010,153.6188,75.2448
09/17/2010,154.1937,75.5267
09/20/2010,153.4929,75.1843
09/21/2010,153.181,75.0319
09/22/2010,150.8431,73.8871
09/23/2010,150.6717,73.8034
09/24/2010,150.8621,73.8971
09/27/2010,152.2361,74.5711
09/28/2010,151.5952,74.2574
09/29/2010,149.3927,73.1789
09/30/2010,151.1344,74.0324
10-01-2010,148.461,72.7231
10-04-2010,146.7317,71.877
10-05-2010,147.3506,72.1804
10-06-2010,146.7339,71.8786
10-07-2010,146.0988,71.5677
10-08-2010,149.6827,73.3236
10-11-2010,148.6645,72.8256
10-12-2010,149.3061,73.1402
10/13/2010,147.7211,72.364
10/14/2010,145.4401,71.2469
10/15/2010,147.2653,72.1412
10/18/2010,147.2044,72.1121
10/19/2010,147.5501,72.2817
10/20/2010,148.5872,72.7901
10/21/2010,148.6642,72.828
10/22/2010,150.0698,73.5169
10/25/2010,147.4432,72.231
10/26/2010,147.0763,72.0515
10/27/2010,146.3753,71.7084
10/28/2010,145.0884,71.0782
10/29/2010,144.0307,70.5603
11-01-2010,142.6457,69.8825
11-02-2010,143.4749,70.289
11-03-2010,143.3643,70.2351
11-04-2010,143.9386,70.5167
11-05-2010,143.3475,70.2273
11-08-2010,146.1086,70.7004
11-09-2010,147.281,70.404
11-10-2010,151.0697,71.3439
11-11-2010,153.0555,71.4961
11-12-2010,152.9448,70.6753
11/15/2010,154.3621,71.3309
11/16/2010,152.6357,70.5334
11/17/2010,153.5036,70.9347
11/18/2010,156.5491,72.3423
11/19/2010,157.8257,72.9326
11/22/2010,157.4698,72.7689
11/23/2010,158.0557,73.0399
11/24/2010,158.931,73.4447
11/26/2010,159.2056,73.5722
11/29/2010,158.093,73.0589
11/30/2010,158.3434,73.175
12-01-2010,158.3455,73.1763
12-02-2010,158.6049,73.2965
12-03-2010,158.9294,73.4468
12-06-2010,158.0072,73.0217
12-07-2010,156.2495,72.2097
12-08-2010,156.5783,72.362
12-09-2010,156.7432,72.4384
12-10-2010,155.5412,71.8833
12/13/2010,157.3687,72.7287
12/14/2010,156.8113,72.4714
12/15/2010,155.5295,71.8793
12/16/2010,154.7092,71.5004
12/17/2010,156.6589,72.4018
12/20/2010,157.4514,72.7689
12/21/2010,157.934,72.9922
12/22/2010,161.7501,74.7561
12/23/2010,161.6644,74.7168
12/27/2010,162.1185,74.9277
12/28/2010,161.8087,74.7849
12/29/2010,162.9579,75.3164
12/30/2010,161.5143,74.6496
12/31/2010,163.1644,75.4127
01-03-2011,160.535,74.1985
01-04-2011,159.2671,73.6128
01-05-2011,160.2332,74.0596
01-06-2011,161.6118,74.6971
01-07-2011,161.017,74.4225
01-10-2011,163.3759,74.8182
01-11-2011,166.6227,75.5653
01-12-2011,171.1104,76.8602
01/13/2011,172.1149,76.5424
01/14/2011,172.4378,75.9091
01/18/2011,173.5341,76.393
01/19/2011,172.7663,76.0553
01/20/2011,173.2682,76.2766
01/21/2011,172.4003,75.8949
01/24/2011,171.2054,75.3698
01/25/2011,171.3687,75.442
01/26/2011,174.7046,76.9109
01/27/2011,174.534,76.8362
01/28/2011,176.3132,77.6198
01/31/2011,179.319,78.944
