CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKNATIONALUM27-FEB-2020,42.65,42.95,43.9,42.3,43.6,43.6,2.22,3285,13361400,1142,574811055
FUTSTKVOLTAS26-MAR-2020,705.45,706.15,718.15,691.65,701.3,699.5,-0.84,44,32000,32,22513650
FUTSTKNATIONALUM30-APR-2020,43.05,42,43,41.95,43,43,-0.11,6,81900,7,3492450
FUTSTKBPCL27-FEB-2020,471.5,474.6,502.8,472.15,497.7,497.7,5.55,14419,27014400,15008,13254785730
FUTSTKSIEMENS30-APR-2020,1496.3,1518.25,1518.25,1518.25,1518.25,1516.6,1.35,1,550,1,835037.5
FUTSTKAMBUJACEM27-FEB-2020,205.95,205.95,208.75,204.9,207.1,207.1,0.55,8438,15465000,6186,3198880625
FUTSTKMOTHERSUMI26-MAR-2020,133.75,134.7,136.7,132.4,136.05,136.05,1.71,86,300000,60,40492500
FUTIDXNIFTY27-FEB-2020,11964.25,11963.35,12104,11942,12086.3,12086.3,1.02,183845,10580850,141078,1.27233E+11
FUTSTKGODREJCP27-FEB-2020,655.65,657,667,650.75,663.65,663.65,1.22,7088,1574400,1968,1040005240
FUTSTKPETRONET30-APR-2020,273.5,270.9,270.9,270.9,270.9,271.8,-0.62,1,3000,1,812700
FUTSTKL&TFH26-MAR-2020,113,113,118.5,113,117.45,117.45,3.93,362,935200,167,109291000
FUTSTKMRF26-MAR-2020,72003.35,73309.05,73500,72399.95,72400,72925.35,1.28,30,80,8,5842152
FUTSTKIBULHSGFIN27-FEB-2020,267.35,268.6,274,258.3,267.7,267.7,0.13,19094,20266800,16889,5427988680
FUTSTKAMARAJABAT27-FEB-2020,780.2,783.5,796.7,780.1,787.45,787.45,0.92,1970,986400,1233,776302240
FUTSTKITC26-MAR-2020,216.75,216.6,219.1,213.1,217.95,217.95,0.55,1501,1737600,724,375134760
FUTSTKAUROPHARMA27-FEB-2020,495.3,497.7,511.4,494.7,508.75,508.75,2.71,14134,5246000,5246,2641370850
FUTSTKSIEMENS26-MAR-2020,1488.6,1499.3,1507,1494.9,1507,1507,1.23,16,2750,5,4126650
FUTSTKEXIDEIND30-APR-2020,190.75,190,190,186.95,186.95,188,-1.44,2,5800,2,1093155
FUTSTKSAIL27-FEB-2020,46.65,46.75,49.1,46.4,48.8,48.8,4.6,4991,63694900,4057,3043950540
FUTSTKRECLTD27-FEB-2020,142.2,142.2,153.9,140,151.5,151.5,6.54,3981,39006000,6501,5826712800
FUTSTKBAJAJFINSV26-MAR-2020,9555.6,9538.15,9719.7,9538.15,9657.75,9657.75,1.06,171,9250,74,89197437.5
FUTSTKTITAN27-FEB-2020,1274.7,1282,1296.5,1252.8,1277.7,1277.7,0.23,11881,9772500,13030,12468409950
FUTSTKJSWSTEEL30-APR-2020,261.65,261.65,261.65,261.65,261.65,272.65,4.2,6,2300,1,601795
FUTSTKSRF27-FEB-2020,3753.85,3799.95,4007.95,3780.1,3997.65,3997.65,6.49,3543,2236500,8946,8772343638
FUTSTKGAIL30-APR-2020,120.4,117.75,117.75,117.75,117.75,122.5,1.74,5,10668,2,1256157
FUTSTKAPOLLOTYRE27-FEB-2020,162.15,163.35,170.2,161.65,169.2,169.2,4.34,4425,33111000,11037,5499766200
FUTSTKRBLBANK27-FEB-2020,318.5,319.4,323.6,314.6,318.3,318.3,-0.06,10667,11080500,7387,3532578900
FUTSTKVOLTAS30-APR-2020,709.1,713.3,713.3,711.75,711.75,703.15,-0.83,8,2000,2,1425050
