Date,SMB %,HML %,WML %,VIX %,Rm %,Rf %,Rm-Rf %,MSCI World (Rgm %),Rgm-Rf %,Info Edge Returns %
10-Mar-15,0.14369749,-0.43643813,0.29635812,-1.77,-0.22865529,0.03164037,-0.26029566,-1.68,-1.71164037,-3.878592831
11-Mar-15,-0.66189653,0.55603535,-0.03708227,-2.59,-0.25340186,0.03164037,-0.28504223,-0.1,-0.13164037,-1.789528373
12-Mar-15,-0.3162525,0.60444667,-0.03371526,-2.51,1.02001365,0.03193602,0.98807763,1.04,1.00806398,-2.762593311
13-Mar-15,0.7259727,-1.613445,0.42126873,1.46,-1.34736358,0.03193602,-1.3792996,-0.51,-0.54193602,2.448165387
16-Mar-15,-0.69501881,-0.44618023,0.0720886,1.42,-0.3507513,0.03193602,-0.38268732,1.18,1.14806398,-0.908661789
17-Mar-15,-0.82498017,-0.38599609,0.85547538,-0.33,0.88743017,0.03193602,0.85549415,-0.2,-0.23193602,-1.232583065
18-Mar-15,-0.25142824,0.33007383,0.91382833,2.55,-0.09290698,0.03193602,-0.124843,1.01,0.97806398,0.880207391
19-Mar-15,0.33743571,-1.13955157,-0.56149324,-2.03,-0.46871793,0.03193602,-0.50065395,-0.16,-0.19193602,-2.480129086
20-Mar-15,-0.49149793,-1.99999256,-1.21538979,-6.17,-1.05832539,0.03193602,-1.09026141,1.33,1.29806398,3.621767373
23-Mar-15,-0.68812252,-1.10484829,0.22130909,0.07,-0.52175277,0.03193602,-0.55368879,0.19,0.15806398,-2.531196404
24-Mar-15,0.01374921,-0.97913947,-0.24719406,-4.19,-0.07557483,0.03193602,-0.10751085,-0.31,-0.34193602,5.290941084
25-Mar-15,-0.25137614,-0.9130294,-0.00530346,-3.88,-0.26218243,0.03193602,-0.29411845,-0.9,-0.93193602,-2.610499625
26-Mar-15,-0.22544755,1.29700557,0.18462999,15.37,-1.51709748,0.03178822,-1.5488857,-0.66,-0.69178822,-3.106508876
27-Mar-15,-0.23950052,-0.08319618,1.56568493,-4.37,-0.31829934,0.03178822,-0.35008756,0,-0.03178822,-0.751145038
30-Mar-15,1.96623694,0.7765603,0.96506434,-1.64,1.90734368,0.03178822,1.87555546,0.72,0.68821178,0.713758307
31-Mar-15,1.22354452,0.04319469,-0.01217201,1.61,0.2266409,0.03178822,0.19485268,-0.94,-0.97178822,2.443792766
01-Apr-15,1.15553816,0.90942023,0.83323528,-5.71,1.16139785,0.03178822,1.12960963,-0.15,-0.18178822,0
06-Apr-15,0.00600274,2.4301156,0.20036887,6.64,1.04150629,0.03178822,1.00971807,0.81,0.77821178,0.029818702
07-Apr-15,0.79384817,0.02801582,-0.28808538,-2.21,0.48390581,0.03023304,0.45367277,-0.01,-0.04023304,0.351755798
08-Apr-15,0.36980348,0.88178655,0.42631274,0.68,0.867633,0.03023304,0.83739996,0.12,0.08976696,-1.924904943
09-Apr-15,-0.39540664,0.15117087,-0.00639688,0.49,0.40025723,0.03024009,0.37001714,0.31,0.27975991,-2.029319118
10-Apr-15,0.32047855,0.51119119,-0.26708816,-1.13,0.37006254,0.03024009,0.33982245,0.43,0.39975991,-0.809991962
13-Apr-15,0.07314678,0.81311504,-0.43175702,1.63,0.63223674,0.03024009,0.60199665,-0.42,-0.45024009,4.033162947
15-Apr-15,0.46968076,0.18988651,-0.6484969,0.91,-0.70938055,0.03024009,-0.73962064,0.22,0.18975991,3.259632093
16-Apr-15,-0.10057344,-1.32777386,-0.72251688,2.26,-0.59044626,0.03024009,-0.62068635,0.16,0.12975991,2.942029826
17-Apr-15,-0.45859628,0.80474289,-1.36065206,0.6,-1.22274065,0.03024009,-1.25298074,-0.98,-1.01024009,-4.447576099
20-Apr-15,0.2042679,-1.13932207,0.38293729,8.36,-1.85584402,0.03024009,-1.88608411,0.57,0.53975991,-2.117869152
21-Apr-15,-0.03295378,1.11147852,0.35852203,4.49,-0.7796859,0.03024009,-0.80992599,0.16,0.12975991,1.759884282
22-Apr-15,0.17530533,-0.37201069,0.16797044,1.06,0.18248486,0.03024009,0.15224477,0.27,0.23975991,1.23193556
23-Apr-15,0.45634012,-0.08422448,0.26070384,7.5,-0.18053791,0.03038142,-0.21091933,0.31,0.27961858,-2.199859583
24-Apr-15,-1.34841123,-1.45356693,-2.32806225,3.27,-1.32739557,0.03038142,-1.35777699,0.42,0.38961858,-1.681024168
