Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-November-2015,259.90,264.90,256.15,262.90,261.742503124434848587,989779,10080,259067233.00,296531,29.96,8.75,3.00
6-November-2015,269.90,269.90,265.20,267.45,267.667055825883916930,704082,7152,188459556.00,145444,20.66,4.70,-2.45
5-November-2015,272.70,273.40,268.80,270.15,270.778724181987782189,579973,5928,157044349.00,143265,24.70,4.60,-2.55
4-November-2015,281.00,281.10,272.50,273.40,276.485392222463416217,446851,5408,123547774.00,124459,27.85,8.60,-7.60
3-November-2015,280.90,282.70,277.60,279.15,280.542646486443876218,405942,5756,113884043.00,102796,25.32,5.10,-1.75
2-November-2015,277.00,281.30,276.45,279.30,279.398709050582758936,753399,11722,210498708.00,229702,30.49,4.85,2.30
30-October-2015,272.25,279.60,270.50,277.00,275.495376903091411314,1986439,18422,547254761.00,557740,28.08,9.10,4.75
29-October-2015,272.90,274.20,270.30,271.45,272.285057255742315676,373325,5396,101650819.00,94891,25.42,3.90,-1.45
28-October-2015,280.00,280.20,269.35,271.50,273.772298848578988069,748727,10236,204980712.00,235266,31.42,10.85,-8.50
27-October-2015,284.70,285.90,282.30,283.70,283.951818617841127631,214751,3101,60978937.00,74196,34.55,3.60,-1.00
26-October-2015,288.00,289.70,283.80,285.20,285.886126767009716101,305884,3720,87447992.00,83843,27.41,5.90,-2.80
23-October-2015,285.00,289.00,284.90,286.15,286.801322746844086294,354414,5156,101646404.00,70583,19.92,4.10,1.15
21-October-2015,286.15,287.75,278.90,282.25,282.952971703424024465,381919,5434,108065116.00,114773,30.05,8.85,-3.90
20-October-2015,287.20,289.45,284.35,286.15,287.149916983047621061,472795,6539,135763045.00,188212,39.81,5.10,-1.05
19-October-2015,290.00,290.05,286.00,287.20,287.666488118426178418,328576,4233,94520304.00,123560,37.60,4.05,-2.80
16-October-2015,285.70,292.65,282.60,290.00,288.219702627876911817,666774,8376,192177404.00,261930,39.28,10.05,4.30
15-October-2015,284.00,286.90,283.60,286.15,285.643249103913957440,437179,5417,124877230.00,115653,26.45,3.30,2.15
14-October-2015,284.05,285.40,282.05,282.85,283.507630704539331540,378602,4500,107336556.00,105128,27.77,3.35,-1.20
13-October-2015,287.00,289.60,284.85,287.40,287.263218491108852863,355241,3725,102047673.00,142429,40.09,4.75,0.40
12-October-2015,288.00,291.40,285.25,287.70,288.754066851686846309,450041,6009,129951169.00,133688,29.71,6.15,-0.30
9-October-2015,281.00,287.85,280.65,286.10,285.574036930998750093,748856,9261,213853831.00,248391,33.17,7.20,5.10
8-October-2015,282.90,282.90,277.50,278.45,279.004950663635821861,469836,5783,131086570.00,103088,21.94,5.40,-4.45
7-October-2015,282.00,283.90,277.45,282.90,280.764865138000180844,564021,6886,158357280.00,91077,16.15,6.45,0.90
6-October-2015,283.55,284.90,280.10,282.75,282.534263771860647834,683477,7368,193105671.00,169804,24.84,4.80,-0.80
5-October-2015,271.00,281.40,271.00,280.45,277.210578848971080893,899682,12785,249401368.00,287898,32.00,10.40,9.45
1-October-2015,273.00,273.90,266.50,267.35,269.220909629722057584,961710,8804,258912441.00,402636,41.87,7.40,-5.65
30-September-2015,271.00,272.50,265.70,270.25,269.070085775371599728,979885,11563,263657741.00,243873,24.89,6.80,-0.75
29-September-2015,264.90,272.60,256.65,268.85,265.309431770039827646,2613009,28832,693255933.00,466854,17.87,15.95,3.95
28-September-2015,271.90,272.95,266.55,268.55,270.146502975581776913,1100121,10943,297193841.00,432546,39.32,6.40,-3.35
24-September-2015,271.00,273.70,267.00,268.55,270.609249516313553786,880219,10717,238195403.00,295112,33.53,6.70,-2.45
23-September-2015,267.00,275.20,264.40,273.90,270.695773152679872960,1136024,12533,307516895.00,305024,26.85,10.80,6.90
22-September-2015,278.00,280.50,269.20,270.65,276.059261404579415729,1450185,11673,400337000.00,657151,45.31,11.30,-7.35
21-September-2015,274.00,280.65,271.55,279.40,277.576234494051542985,614361,6523,170532013.00,170292,27.72,9.10,5.40
