Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-August-2017,701.95,709.70,693.00,696.80,700.879661814483690290,65881,1725,46174653.00,9441,14.33,16.70,-5.15
30-August-2017,690.05,708.50,690.05,701.95,703.783433937590614902,316587,2617,222808686.00,33413,10.55,18.45,11.90
29-August-2017,693.55,703.00,682.70,686.45,691.061986437973673713,87745,2403,60637234.00,8297,9.46,20.30,-7.10
28-August-2017,678.60,705.10,678.60,694.60,695.430636900655181270,198571,4360,138092357.00,52815,26.60,26.50,16.00
24-August-2017,640.95,676.00,639.20,673.10,662.741996118590486884,163858,4747,108595578.00,28290,17.26,36.80,32.15
23-August-2017,635.85,643.30,626.80,638.95,636.125109847737584963,55759,1578,35469700.00,12884,23.11,16.50,3.10
22-August-2017,623.10,644.85,622.45,630.25,633.744057881773399014,64960,1912,41168014.00,15164,23.34,22.40,7.15
21-August-2017,639.95,642.00,617.50,622.45,629.424158415841584158,32825,1025,20660848.00,8458,25.77,24.50,-17.50
18-August-2017,645.00,645.00,631.60,634.10,635.904743496452610514,43976,1288,27964547.00,11599,26.38,13.40,-10.90
17-August-2017,665.00,665.00,642.30,645.50,649.539220197558132400,65196,1380,42347359.00,15017,23.03,22.70,-19.50
16-August-2017,645.00,660.00,636.00,656.40,651.749272505397540598,95877,2429,62487765.00,27255,28.43,24.00,11.40
14-August-2017,637.00,642.00,617.20,639.00,632.463805092801040572,79956,2462,50569276.00,14958,18.71,24.80,2.00
11-August-2017,618.00,639.60,611.25,626.85,627.764040404040404040,96525,2842,60594924.00,21165,21.93,28.35,8.85
10-August-2017,633.80,646.00,605.75,624.65,628.112497969036510920,172332,3923,108243883.00,32134,18.65,40.25,-9.15
9-August-2017,662.40,673.00,625.10,638.90,646.482320527505185276,161515,3782,104416592.00,53185,32.93,47.90,-23.50
8-August-2017,682.75,684.65,671.00,673.20,676.720284921474954944,34957,963,23656111.00,9582,27.41,13.65,-9.55
7-August-2017,684.00,692.75,676.70,683.20,687.350609371905884894,55549,1425,38181639.00,20122,36.22,16.05,-0.80
4-August-2017,669.00,700.00,660.25,681.60,680.737400445388559803,155819,3974,106071821.00,27182,17.44,39.75,12.60
3-August-2017,671.70,684.00,668.30,670.45,675.975741766042021578,56352,1505,38092585.00,11369,20.17,15.70,-1.25
2-August-2017,670.65,672.30,665.10,668.55,667.830118694362017804,113232,1125,75619740.00,84226,74.38,7.20,-2.10
1-August-2017,673.00,674.95,663.30,668.35,667.673413887441375716,61408,1492,41000489.00,15675,25.53,11.65,-4.65
31-July-2017,675.00,681.00,669.75,671.90,674.020453029666773707,80966,1892,54572740.00,19716,24.35,11.25,-3.10
28-July-2017,659.95,676.90,651.05,673.00,665.733904260441102654,97619,2574,64988278.00,24340,24.93,25.85,13.05
27-July-2017,682.00,684.90,658.95,661.35,671.211245664904201489,87945,2388,59029673.00,21859,24.86,25.95,-20.65
26-July-2017,674.00,684.45,674.00,678.70,678.823341704830846506,101535,2482,68924328.00,20424,20.12,10.45,4.70
25-July-2017,685.00,689.40,670.00,675.05,680.159792132913553085,131815,3029,89655263.00,40127,30.44,19.40,-9.95
24-July-2017,699.75,699.75,680.35,686.90,689.729583633055473278,283596,6375,195604551.00,62953,22.20,19.40,-12.85
21-July-2017,768.00,768.00,707.65,720.85,727.607943567404191874,197191,4742,143477738.00,40254,20.41,60.35,-47.15
20-July-2017,759.00,759.85,739.75,744.80,748.931312264645597978,83916,2104,62847320.00,26123,31.13,20.10,-14.20
19-July-2017,737.10,758.30,737.10,754.80,752.093282675443440613,181084,5068,136192060.00,54331,30.00,21.20,17.70
18-July-2017,730.00,742.10,727.15,734.20,735.843219063185513355,69747,2042,51322857.00,18609,26.68,14.95,4.20
17-July-2017,739.70,739.70,725.50,730.65,731.112385973847006485,66761,1751,48809794.00,19744,29.57,14.20,-9.05
14-July-2017,730.25,742.00,730.00,734.70,735.515272119256764712,127389,2998,93696555.00,34817,27.33,12.00,4.45
