Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-July-2015,5150.00,5211.45,5139.55,5166.00,5176.970883534136546184,1992,491,10312526.00,631,31.68,71.90,16.00
23-July-2015,5150.00,5190.00,5115.00,5139.40,5162.646658523817832838,5731,2209,29587128.00,2728,47.60,75.00,-10.60
22-July-2015,5199.00,5203.65,4975.40,5133.00,5087.296934253209667839,21887,3081,111345668.00,5391,24.63,228.25,-66.00
21-July-2015,5190.00,5229.90,5080.00,5101.25,5153.443900163284348028,4287,683,22092814.00,1695,39.54,149.90,-88.75
20-July-2015,5194.00,5266.95,5120.80,5171.05,5187.530780559646539027,3395,644,17611667.00,1052,30.99,146.15,-22.95
17-July-2015,5260.35,5307.00,5163.15,5185.65,5234.469900073117231294,8206,958,42954060.00,4216,51.38,143.85,-74.70
16-July-2015,5180.00,5279.00,5170.00,5251.20,5235.474425500370644922,8094,1065,42375930.00,3638,44.95,109.00,71.20
15-July-2015,5107.10,5179.00,5094.00,5149.90,5140.514772952607574856,5043,895,25923616.00,1805,35.79,85.00,42.80
14-July-2015,5105.00,5124.00,5005.00,5078.45,5072.318938807126258714,5164,909,26193455.00,1766,34.20,119.00,-26.55
13-July-2015,5050.00,5135.50,5041.75,5102.70,5091.188563458856345885,3585,909,18251911.00,965,26.92,93.75,52.70
10-July-2015,5030.00,5070.90,4951.90,5029.45,5005.414513092589423241,5843,1126,29246637.00,681,11.65,119.00,-0.55
9-July-2015,5250.00,5259.40,4985.00,5025.10,5056.533046926635822868,15130,2351,76505345.00,5010,33.11,274.40,-224.90
8-July-2015,5540.60,5574.05,5188.80,5233.55,5352.773001690412943733,12423,2028,66497499.00,2410,19.40,385.25,-307.05
7-July-2015,5600.00,5652.20,5541.95,5556.70,5595.159555152065365410,4406,821,24652273.00,1319,29.94,110.25,-43.30
6-July-2015,5530.00,5625.00,5470.00,5568.40,5583.910743801652892561,6050,1132,33782660.00,2019,33.37,155.00,38.40
3-July-2015,5481.35,5596.00,5475.00,5557.20,5559.041730279898218829,9825,1264,54617585.00,3721,37.87,121.00,75.85
2-July-2015,5501.00,5578.00,5412.00,5442.85,5505.573419927134484397,6313,1188,34756685.00,1598,25.31,166.00,-58.15
1-July-2015,5468.00,5570.00,5421.95,5496.90,5513.974967815763124016,6991,1557,38548199.00,1760,25.18,148.05,28.90
30-June-2015,5424.00,5470.00,5395.75,5456.65,5447.720193395741178891,9721,2748,52957288.00,4317,44.41,74.25,32.65
29-June-2015,5320.00,5475.00,5240.05,5450.45,5421.718142708796914404,6741,1200,36547802.00,1709,25.35,234.95,130.45
26-June-2015,5385.90,5499.00,5320.00,5435.05,5440.275667351129363449,7792,1561,42390628.00,2389,30.66,179.00,49.15
25-June-2015,5277.00,5398.00,5160.00,5372.80,5304.023357015985790408,11260,1177,59723303.00,3849,34.18,238.00,95.80
24-June-2015,5320.00,5376.00,5156.85,5257.55,5312.584677419354838709,3472,719,18445294.00,394,11.35,219.15,-62.45
23-June-2015,5384.60,5409.20,5251.15,5316.95,5333.241118561849051219,7009,1132,37380687.00,2607,37.20,158.05,-67.65
22-June-2015,5219.35,5440.50,5160.00,5359.55,5336.606880708242281615,17847,3071,95242423.00,4832,27.07,280.50,140.20
19-June-2015,4896.50,5247.00,4896.50,5156.40,5081.906792311998507184,10718,1642,54467877.00,4440,41.43,350.50,259.90
18-June-2015,4780.00,4925.00,4780.00,4904.15,4882.672553561088592935,6908,1075,33729502.00,2699,39.07,145.00,124.15
17-June-2015,4711.40,4790.00,4702.20,4772.25,4759.628956228956228956,4455,1279,21204147.00,1939,43.52,87.80,60.85
16-June-2015,4671.60,4715.00,4641.00,4697.65,4667.848733233979135618,2684,468,12528506.00,837,31.18,74.00,26.05
15-June-2015,4678.40,4729.95,4650.00,4715.25,4699.666285714285714285,2625,535,12336624.00,1044,39.77,79.95,36.85
12-June-2015,4650.00,4715.80,4625.00,4662.95,4662.176798256236376846,4129,867,19250128.00,860,20.83,90.80,12.95
11-June-2015,4577.10,4770.00,4530.00,4660.30,4680.885440113730600639,8441,1683,39511354.00,1636,19.38,240.00,83.20
10-June-2015,4560.00,4585.80,4512.00,4547.80,4546.818655549765502866,1919,539,8725345.00,420,21.89,73.80,-12.20
9-June-2015,4412.75,4619.00,4405.50,4575.20,4530.891283245971655989,5151,1154,23338621.00,2287,44.40,213.50,162.45
8-June-2015,4499.95,4499.95,4421.05,4463.75,4452.753480753480753480,1221,317,5436812.00,541,44.31,78.90,-36.20
5-June-2015,4399.00,4497.60,4328.75,4456.85,4432.153365906623235613,3684,853,16328053.00,987,26.79,168.85,57.85
4-June-2015,4275.10,4367.45,4210.05,4341.85,4308.342484876686831084,2149,476,9258628.00,519,24.15,157.40,66.75
3-June-2015,4252.80,4358.00,4177.00,4317.35,4245.475848876135820181,4182,848,17754580.00,868,20.76,181.00,64.55
2-June-2015,4424.00,4430.00,4248.00,4282.90,4296.502237430902869176,3799,932,16322412.00,1121,29.51,182.00,-141.10
1-June-2015,4274.90,4417.95,4257.35,4373.85,4362.001104728236853733,4526,955,19742417.00,719,15.89,160.60,98.95
29-May-2015,4431.60,4584.95,4125.00,4218.75,4340.543997750913691312,10671,1692,46317945.00,2937,27.52,459.95,-212.85
